N_img,γ1,γ2,E_exact,E_ewald,error_r
1,0.3,0.3,-1.1324208514468435,-1.1324484943995445,2.4410494266121045e-5
3,0.3,0.3,-1.1324208514468435,-1.1324208876655129,3.198340029741071e-8
5,0.3,0.3,-1.1324208514468435,-1.1324208514913119,3.926846532568775e-11
7,0.3,0.3,-1.1324208514468435,-1.132420851446902,5.1765009117690126e-14
9,0.3,0.3,-1.1324208514468435,-1.132420851446843,3.9215915998250094e-16
11,0.3,0.3,-1.1324208514468435,-1.132420851446843,3.9215915998250094e-16
13,0.3,0.3,-1.1324208514468435,-1.132420851446843,3.9215915998250094e-16
15,0.3,0.3,-1.1324208514468435,-1.1324208514468448,1.1764774799475029e-15
17,0.3,0.3,-1.1324208514468435,-1.132420851446843,3.9215915998250094e-16
19,0.3,0.3,-1.1324208514468435,-1.1324208514468426,7.843183199650019e-16
1,-0.3,-0.3,-1.4018216328135078,-1.4017535830759966,4.854379181936248e-5
3,-0.3,-0.3,-1.4018216328135078,-1.4018215547166903,5.571095182820359e-8
5,-0.3,-0.3,-1.4018216328135078,-1.4018216327055555,7.700859455147506e-11
7,-0.3,-0.3,-1.4018216328135078,-1.4018216328133608,1.04858938555078e-13
9,-0.3,-0.3,-1.4018216328135078,-1.401821632813506,1.2671775051973173e-15
11,-0.3,-0.3,-1.4018216328135078,-1.4018216328135065,9.503831288979878e-16
13,-0.3,-0.3,-1.4018216328135078,-1.4018216328135051,1.9007662577959757e-15
15,-0.3,-0.3,-1.4018216328135078,-1.4018216328135074,3.167943762993293e-16
17,-0.3,-0.3,-1.4018216328135078,-1.401821632813507,6.335887525986586e-16
19,-0.3,-0.3,-1.4018216328135078,-1.401821632813507,6.335887525986586e-16
1,-0.3,0.3,-1.2684310793809321,-1.268435697305068,3.640658299092072e-6
3,-0.3,0.3,-1.2684310793809321,-1.2684310794604001,6.265061542375191e-11
5,-0.3,0.3,-1.2684310793809321,-1.2684310793840163,2.4315074051275635e-12
7,-0.3,0.3,-1.2684310793809321,-1.2684310793809268,4.2013086913651205e-15
9,-0.3,0.3,-1.2684310793809321,-1.268431079380933,7.002181152275201e-16
11,-0.3,0.3,-1.2684310793809321,-1.2684310793809308,1.0503271728412801e-15
13,-0.3,0.3,-1.2684310793809321,-1.2684310793809312,7.002181152275201e-16
15,-0.3,0.3,-1.2684310793809321,-1.2684310793809326,3.5010905761376006e-16
17,-0.3,0.3,-1.2684310793809321,-1.2684310793809308,1.0503271728412801e-15
19,-0.3,0.3,-1.2684310793809321,-1.2684310793809326,3.5010905761376006e-16
1,0.6,0.6,-0.9974928665287521,-0.9977959500613198,0.00030384531332280733
3,0.6,0.6,-0.9974928665287521,-0.9974943663757472,1.503616762959919e-6
