N_img,N_slab,γ1,γ2,E_exact,E_ewald,error_r
2,3,0.6,0.6,-0.9974928665287521,-0.9978767072285035,0.00038480545839605576
4,3,0.6,0.6,-0.9974928665287521,-0.9974941577878726,1.2945046163695815e-6
6,3,0.6,0.6,-0.9974928665287521,-0.9974778071369347,1.5097242619746823e-5
8,3,0.6,0.6,-0.9974928665287521,-0.9968241414364213,0.0006704058893754211
10,3,0.6,0.6,-0.9974928665287521,-0.9851089379426304,0.012415054785521852
12,3,0.6,0.6,-0.9974928665287521,-0.9850410824739086,0.012483080804552871
14,3,0.6,0.6,-0.9974928665287521,-0.9850407950805147,0.012483368920291454
16,3,0.6,0.6,-0.9974928665287521,-0.9850400247939284,0.012484141142943005
2,5,0.6,0.6,-0.9974928665287521,-0.9978767305994194,0.0003848288880532026
4,5,0.6,0.6,-0.9974928665287521,-0.9974947516489692,1.8898583441483258e-6
6,5,0.6,0.6,-0.9974928665287521,-0.9974929270048647,6.06281153394796e-8
8,5,0.6,0.6,-0.9974928665287521,-0.9974929161746207,4.977065019027049e-8
10,5,0.6,0.6,-0.9974928665287521,-0.9974928895057856,2.3034784777992683e-8
12,5,0.6,0.6,-0.9974928665287521,-0.9974922117784479,6.563959765196078e-7
14,5,0.6,0.6,-0.9974928665287521,-0.9974617148060463,3.1230020535639315e-5
16,5,0.6,0.6,-0.9974928665287521,-0.9969151302764,0.000579188354862768
2,7,0.6,0.6,-0.9974928665287521,-0.9978767306291365,0.0003848289178450123
4,7,0.6,0.6,-0.9974928665287521,-0.9974947516562002,1.8898655933165397e-6
6,7,0.6,0.6,-0.9974928665287521,-0.9974929270816384,6.070508200368927e-8
8,7,0.6,0.6,-0.9974928665287521,-0.9974929173405581,5.093951815596297e-8
10,7,0.6,0.6,-0.9974928665287521,-0.9974929172844014,5.088322026371287e-8
12,7,0.6,0.6,-0.9974928665287521,-0.9974929172820489,5.088086189941191e-8
14,7,0.6,0.6,-0.9974928665287521,-0.9974929172307484,5.082943243950351e-8
16,7,0.6,0.6,-0.9974928665287521,-0.9974929159890281,4.958459117414833e-8
2,3,-0.6,-0.6,-1.5368713436877486,-1.5364869394815477,0.0002501212660251119
4,3,-0.6,-0.6,-1.5368713436877486,-1.5368702463795616,7.139883188584833e-7
6,3,-0.6,-0.6,-1.5368713436877486,-1.536888389730641,1.109139223809008e-5
8,3,-0.6,-0.6,-1.5368713436877486,-1.5372825216972497,0.00026754224495750573
10,3,-0.6,-0.6,-1.5368713436877486,-1.5489042930468673,0.007829509873120174
12,3,-0.6,-0.6,-1.5368713436877486,-1.5489722321558153,0.007873715986551216
14,3,-0.6,-0.6,-1.5368713436877486,-1.5489725241292371,0.007873905965642884
16,3,-0.6,-0.6,-1.5368713436877486,-1.5489734209451536,0.007874489499144306
2,5,-0.6,-0.6,-1.5368713436877486,-1.5364869110567083,0.0002501397612878988
4,5,-0.6,-0.6,-1.5368713436877486,-1.5368695590156778,1.1612371316067554e-6
6,5,-0.6,-0.6,-1.5368713436877486,-1.5368713877150408,2.8647350630368038e-8
8,5,-0.6,-0.6,-1.5368713436877486,-1.5368713987426557,3.582271691369063e-8
10,5,-0.6,-0.6,-1.5368713436877486,-1.536871429533493,5.585746970009331e-8
12,5,-0.6,-0.6,-1.5368713436877486,-1.5368721907147371,5.511372126414263e-7
14,5,-0.6,-0.6,-1.5368713436877486,-1.5368905788807816,1.2515812147869948e-5
16,5,-0.6,-0.6,-1.5368713436877486,-1.5374328042401457,0.00036532697073387264
2,7,-0.6,-0.6,-1.5368713436877486,-1.5364869110391013,0.00025013977274430797
4,7,-0.6,-0.6,-1.5368713436877486,-1.536869559016524,1.1612365809998404e-6
6,7,-0.6,-0.6,-1.5368713436877486,-1.5368713876746565,2.8621073634127195e-8
8,7,-0.6,-0.6,-1.5368713436877486,-1.5368713974160126,3.495950671518467e-8
10,7,-0.6,-0.6,-1.5368713436877486,-1.5368713974636705,3.4990516388076294e-8
12,7,-0.6,-0.6,-1.5368713436877486,-1.5368713974672445,3.49928419112735e-8
14,7,-0.6,-0.6,-1.5368713436877486,-1.5368713975271908,3.5031847303895496e-8
16,7,-0.6,-0.6,-1.5368713436877486,-1.5368713989616083,3.5965183382794074e-8
2,3,-0.6,0.6,-1.2698138075910808,-1.269689686461366,9.774750358887801e-5
4,3,-0.6,0.6,-1.2698138075910808,-1.2698143527102088,4.2929059740918954e-7
6,3,-0.6,0.6,-1.2698138075910808,-1.2698182515111172,3.499662714198583e-6
8,3,-0.6,0.6,-1.2698138075910808,-1.2695522030020718,0.00020601806929884033
10,3,-0.6,0.6,-1.2698138075910808,-1.2695989190741455,0.00016922836690755002
12,3,-0.6,0.6,-1.2698138075910808,-1.2696166229950605,0.0001552862276669696
14,3,-0.6,0.6,-1.2698138075910808,-1.269616540164946,0.00015535145779287454
16,3,-0.6,0.6,-1.2698138075910808,-1.269616332882684,0.00015551469610449332
2,5,-0.6,0.6,-1.2698138075910808,-1.2696896781182139,9.775407396330555e-5
4,5,-0.6,0.6,-1.2698138075910808,-1.2698145295334538,5.685419143172251e-7
6,5,-0.6,0.6,-1.2698138075910808,-1.2698138560470644,3.81599124062966e-8
8,5,-0.6,0.6,-1.2698138075910808,-1.2698138593503374,4.0761296143603516e-8
10,5,-0.6,0.6,-1.2698138075910808,-1.2698138679721962,4.755115677587388e-8
12,5,-0.6,0.6,-1.2698138075910808,-1.2698136546471708,1.2044593393685215e-7
14,5,-0.6,0.6,-1.2698138075910808,-1.2698260675776072,9.654948192513797e-6
16,5,-0.6,0.6,-1.2698138075910808,-1.269823887992462,7.938487769555064e-6
2,7,-0.6,0.6,-1.2698138075910808,-1.2696896778152447,9.775431255671464e-5
4,7,-0.6,0.6,-1.2698138075910808,-1.2698145292443865,5.683142689625428e-7
6,7,-0.6,0.6,-1.2698138075910808,-1.2698138557276928,3.7908401800304015e-8
8,7,-0.6,0.6,-1.2698138075910808,-1.2698138593910802,4.079338174723259e-8
