N_img,N_slab,γ1,γ2,error_r
2,3,0.6,0.6,0.0003847539883636889
4,3,0.6,0.6,1.243100401388129e-6
6,3,0.6,0.6,1.514873957591019e-5
8,3,0.6,0.6,0.0006704573684868616
10,3,0.6,0.6,0.012415106381539334
12,3,0.6,0.6,0.01248313240211477
14,3,0.6,0.6,0.012483420517687291
16,3,0.6,0.6,0.012484192740331718
2,5,0.6,0.6,0.00038477803660836126
4,5,0.6,0.6,1.8389736130800908e-6
6,5,0.6,0.6,9.760965877664629e-9
8,5,0.6,0.6,1.1018506404429513e-9
10,5,0.6,0.6,2.7834141498570516e-8
12,5,0.6,0.6,7.0727055022666e-7
14,5,0.6,0.6,3.1280894615613576e-5
16,5,0.6,0.6,0.0005792392341774673
2,7,0.6,0.6,0.00038477803704288174
4,7,0.6,0.6,1.838976533071003e-6
6,7,0.6,0.6,9.809721656548094e-9
8,7,0.6,0.6,5.461034118440037e-11
10,7,0.6,0.6,1.8139893990729849e-12
12,7,0.6,0.6,9.116693562281764e-13
14,7,0.6,0.6,5.258510182340319e-11
16,7,0.6,0.6,1.2973609219848963e-9
2,3,0.95,0.95,0.0018272989475720163
4,3,0.95,0.95,1.9291307051659772e-5
6,3,0.95,0.95,0.00016835154253416122
8,3,0.95,0.95,0.021845234883218614
10,3,0.95,0.95,0.8967417823198787
12,3,0.95,0.95,0.9094116253328955
14,3,0.95,0.95,0.9095455746243217
16,3,0.95,0.95,0.9104064934434206
2,5,0.95,0.95,0.0018273421027091997
4,5,0.95,0.95,2.1909699038061112e-5
6,5,0.95,0.95,2.92460500059802e-7
8,5,0.95,0.95,2.7798035027898264e-8
10,5,0.95,0.95,1.9247715115455166e-6
12,5,0.95,0.95,0.00012396929016369906
14,5,0.95,0.95,0.016058257964247237
16,5,0.95,0.95,0.659187609676987
2,7,0.95,0.95,0.0018273421030221473
4,7,0.95,0.95,2.190970794423687e-5
6,7,0.95,0.95,2.929929697727736e-7
8,7,0.95,0.95,3.9930254511140986e-9
10,7,0.95,0.95,4.7926875792995986e-11
12,7,0.95,0.95,3.9113486478180535e-10
14,7,0.95,0.95,2.3369703471615582e-8
16,7,0.95,0.95,1.4149244852118296e-6
2,3,1.0,1.0,0.002193176600265875
4,3,1.0,1.0,2.6028864918282183e-5
6,3,1.0,1.0,0.0002220299609253801
8,3,1.0,1.0,0.032597667933693016
10,3,1.0,1.0,1.4597921036977715
12,3,1.0,1.0,1.482684127745176
14,3,1.0,1.0,1.4829521301017214
16,3,1.0,1.0,1.4848482673194197
2,5,1.0,1.0,0.0021932229609120954
4,5,1.0,1.0,2.9141347760316523e-5
6,5,1.0,1.0,4.3111061585669977e-7
8,5,1.0,1.0,3.985146676901295e-8
10,5,1.0,1.0,3.1123944652989228e-6
12,5,1.0,1.0,0.0002224617696025625
14,5,1.0,1.0,0.032597674368441285
16,5,1.0,1.0,1.4597920980990853
2,7,1.0,1.0,0.0021932229611066273
4,7,1.0,1.0,2.91413584968333e-5
6,7,1.0,1.0,4.3181155519804115e-7
8,7,1.0,1.0,6.5213490626437515e-9
10,7,1.0,1.0,8.817024041226817e-11
12,7,1.0,1.0,6.994257696601268e-10
14,7,1.0,1.0,4.637221320337728e-8
16,7,1.0,1.0,3.1124934201793737e-6
