N_img,N_slab,γ1,γ2,error_r
2,3,0.95,0.95,0.008483339144927252
4,3,0.95,0.95,7.718493170708964e-5
6,3,0.95,0.95,0.007562321812330097
8,3,0.95,0.95,0.4417092627881171
10,3,0.95,0.95,3.980903840292444
12,3,0.95,0.95,3.989902590692547
14,3,0.95,0.95,3.9901924976562317
16,3,0.95,0.95,4.006632880239755
2,5,0.95,0.95,0.008485402979354417
4,5,0.95,0.95,0.00012302015568076025
6,5,0.95,0.95,1.6743351210419407e-6
8,5,0.95,0.95,1.677979111057538e-6
10,5,0.95,0.95,9.997387267374456e-5
12,5,0.95,0.95,0.005560142069403007
14,5,0.95,0.95,0.3246968995802245
16,5,0.95,0.95,2.9263300922500886
2,7,0.95,0.95,0.00848540298655212
4,7,0.95,0.95,0.00012302058307212988
6,7,0.95,0.95,1.6996938812536721e-6
8,7,0.95,0.95,2.3295479284913463e-8
10,7,0.95,0.95,1.9337483953122103e-10
12,7,0.95,0.95,2.1018313133253417e-8
14,7,0.95,0.95,1.2486711414730948e-6
16,7,0.95,0.95,7.349019235741593e-5
