N_img,γ1,γ2,E_exact,E_ewald,error_r
1,0.1,0.1,-1.2222173298398311,-1.2222168572916963,3.8663183977791973e-7
3,0.1,0.1,-1.2222173298398311,-1.2222173298166084,1.900051364329175e-11
5,0.1,0.1,-1.2222173298398311,-1.2222173298398196,9.447026461009801e-15
7,0.1,0.1,-1.2222173298398311,-1.2222173298398293,1.4533886863092e-15
9,0.1,0.1,-1.2222173298398311,-1.2222173298398298,1.0900415147319e-15
11,0.1,0.1,-1.2222173298398311,-1.222217329839828,2.5434302010411003e-15
13,0.1,0.1,-1.2222173298398311,-1.222217329839828,2.5434302010411003e-15
15,0.1,0.1,-1.2222173298398311,-1.2222173298398267,3.633471715773e-15
17,0.1,0.1,-1.2222173298398311,-1.222217329839828,2.5434302010411003e-15
19,0.1,0.1,-1.2222173298398311,-1.2222173298398298,1.0900415147319e-15
1,0.5,0.5,-1.042514372841683,-1.0426801315073924,0.0001589989260843592
3,0.5,0.5,-1.042514372841683,-1.0425149476399653,5.51357657293273e-7
5,0.5,0.5,-1.042514372841683,-1.0425143748887966,1.963631047285917e-9
7,0.5,0.5,-1.042514372841683,-1.0425143728493502,7.354527100822693e-12
9,0.5,0.5,-1.042514372841683,-1.0425143728417146,3.0244507625740584e-14
11,0.5,0.5,-1.042514372841683,-1.0425143728416866,3.4078318451538686e-15
13,0.5,0.5,-1.042514372841683,-1.0425143728416857,2.5558738838654014e-15
15,0.5,0.5,-1.042514372841683,-1.0425143728416826,4.2597898064423357e-16
17,0.5,0.5,-1.042514372841683,-1.04251437284168,2.981852864509635e-15
19,0.5,0.5,-1.042514372841683,-1.042514372841683,0.0
1,0.9,0.9,-0.8620224173142175,-0.8631434057230947,0.0013004167714916696
3,0.9,0.9,-0.8620224173142175,-0.862034739744296,1.4294790751416992e-5
5,0.9,0.9,-0.8620224173142175,-0.8620225624262075,1.6833899799487564e-7
7,0.9,0.9,-0.8620224173142175,-0.8620224190824732,2.0512874474233252e-9
9,0.9,0.9,-0.8620224173142175,-0.8620224173359667,2.5230514445518123e-11
11,0.9,0.9,-0.8620224173142175,-0.8620224173144408,2.5913116418776146e-13
13,0.9,0.9,-0.8620224173142175,-0.8620224173141864,3.606199104004632e-14
15,0.9,0.9,-0.8620224173142175,-0.862022417314225,8.757912109725536e-15
17,0.9,0.9,-0.8620224173142175,-0.8620224173142321,1.700065291887898e-14
19,0.9,0.9,-0.8620224173142175,-0.8620224173142041,1.545513901716271e-14
