N_img,γ1,γ2,error_r
1,0.1,0.1,0.0008160240187801542
3,0.1,0.1,1.4967870655244054e-7
5,0.1,0.1,2.3583321629453354e-11
7,0.1,0.1,4.63062985518269e-15
9,0.1,0.1,1.0326779066574954e-15
11,0.1,0.1,1.884949737334405e-15
13,0.1,0.1,1.1519137283710254e-15
15,0.1,0.1,1.1519137283710254e-15
17,0.1,0.1,1.3265761948245282e-15
19,0.1,0.1,7.387796184904627e-16
1,0.5,0.5,0.015629367140684566
3,0.5,0.5,7.218596369792664e-5
5,0.5,0.5,2.8168717486520286e-7
7,0.5,0.5,1.0732354008856349e-9
9,0.5,0.5,4.070795104316243e-12
11,0.5,0.5,1.5829140723954642e-14
13,0.5,0.5,1.7885869100830425e-15
15,0.5,0.5,1.1573209418184392e-15
17,0.5,0.5,7.414198763249847e-16
19,0.5,0.5,1.4729539259507408e-15
1,0.9,0.9,0.05736840560474038
3,0.9,0.9,0.0008499566898637197
5,0.9,0.9,1.0731558179281092e-5
7,0.9,0.9,1.3244494192926485e-7
9,0.9,0.9,1.6282218961362453e-9
11,0.9,0.9,2.000293387293766e-11
13,0.9,0.9,2.445144506260696e-13
15,0.9,0.9,3.96472734313595e-15
17,0.9,0.9,1.427215064865905e-15
19,0.9,0.9,1.2925799746545089e-15
